,rmse,mae,mape
"((1, 0, 9), (2, 0, 0, 7))",30144.06529267859,23498.693500343004,4.021696717590292
"((6, 2, 0), (5, 0, 2, 7))",30144.099090629217,23499.0940282276,4.0217448348855545
"((6, 2, 9), (1, 0, 0, 7))",30144.0995099545,23499.098985656132,4.021745430444719
"((1, 0, 12), (0, 0, 0, 0))",30144.164621732394,23499.865286645138,4.021837489780326
"((1, 0, 12), (0, 0, 0, 7))",30144.164621732394,23499.865286645138,4.021837489780326
"((5, 2, 0), (0, 0, 0, 7))",30144.332566706635,23501.810938691357,4.022071230095515
"((5, 2, 0), (0, 0, 0, 0))",30144.332566706635,23501.810938691357,4.022071230095515
"((5, 0, 2), (0, 0, 1, 7))",30144.368267443897,23502.218998314867,4.022120252213935
"((7, 2, 5), (0, 1, 0, 7))",30144.432610255193,23502.94970551199,4.02220803550021
"((9, 0, 0), (0, 0, 2, 7))",30144.445873470897,23503.099583191626,4.022226041009544
"((1, 0, 9), (4, 0, 0, 7))",30144.483380123882,23503.522058496143,4.022276794951406
"((8, 0, 2), (0, 0, 0, 0))",30144.504555355703,23503.759697493406,4.022305343639866
"((8, 0, 2), (0, 0, 0, 7))",30144.504555355703,23503.759697493406,4.022305343639866
"((0, 1, 12), (0, 0, 0, 7))",30144.528789059816,23504.030889803606,4.0223379232453444
"((0, 1, 12), (0, 0, 0, 0))",30144.528789059816,23504.030889803606,4.0223379232453444
"((3, 0, 8), (2, 0, 0, 7))",30144.534104698414,23504.0902662938,4.022345056421885
"((5, 0, 5), (0, 0, 2, 7))",30144.558080033046,23504.35758912242,4.0223771711683725
"((2, 2, 0), (1, 1, 2, 7))",30144.60914685985,23504.924357517513,4.0224452597166644
"((9, 0, 0), (0, 0, 0, 0))",30144.615070632186,23504.989874162726,4.022453130538857
"((9, 0, 0), (0, 0, 0, 7))",30144.615070632186,23504.989874162726,4.022453130538857
"((3, 1, 4), (0, 0, 1, 7))",30144.624509010177,23505.09416474665,4.0224656594563495
"((6, 2, 4), (0, 1, 0, 7))",30144.62873052812,23505.140772298622,4.022471258640391
"((1, 0, 10), (5, 0, 0, 7))",30144.639457860267,23505.259099923518,4.0224854738935205
"((2, 2, 0), (2, 1, 1, 7))",30144.642723872435,23505.295095124926,4.022489798166063
"((4, 2, 3), (0, 0, 2, 7))",30144.64792371373,23505.352374050355,4.022496679352301
"((6, 2, 7), (0, 1, 0, 7))",30144.70930976155,23506.02587586475,4.022577590287368
"((7, 2, 6), (0, 1, 0, 7))",30144.730974026534,23506.262392303208,4.02260600411757
"((4, 1, 1), (0, 0, 1, 7))",30144.735273398266,23506.309257936355,4.022611634306115
"((2, 2, 0), (4, 1, 1, 7))",30144.84901471087,23507.540569644454,4.022759557562641
"((3, 2, 4), (0, 0, 0, 0))",30144.99696488976,23509.11834320634,4.02294910290831
"((3, 2, 4), (0, 0, 0, 7))",30144.99696488976,23509.11834320634,4.02294910290831
"((6, 0, 11), (1, 0, 0, 7))",30145.0298147834,23509.46512131525,4.022990762990664
"((2, 1, 12), (1, 0, 0, 7))",30145.04791311184,23509.655637794764,4.023013650629827
"((2, 2, 8), (1, 0, 0, 7))",30145.107959271136,23510.28502615683,4.023089262008753
"((2, 2, 9), (1, 1, 0, 7))",30145.164713749342,23510.876150163076,4.023160276510962
"((3, 0, 9), (4, 0, 0, 7))",30145.243150770115,23511.68721559258,4.023257713608976
"((3, 1, 4), (0, 0, 0, 0))",30145.317057973985,23512.44532230017,4.023348788527085
"((3, 1, 4), (0, 0, 0, 7))",30145.317057973985,23512.44532230017,4.023348788527085
"((2, 2, 0), (1, 1, 1, 7))",30145.32839605093,23512.561106891055,4.0233626982735995
"((6, 0, 11), (3, 0, 0, 7))",30145.343760215932,23512.71778908756,4.023381521241491
"((4, 1, 4), (0, 0, 2, 7))",30145.366461028072,23512.94883523587,4.023409277900055
"((4, 0, 12), (4, 0, 0, 7))",30145.38901014943,23513.17780423637,4.023436785021098
"((1, 0, 8), (1, 0, 0, 7))",30145.413487022848,23513.42575080013,4.023466572005916
"((10, 2, 0), (0, 0, 0, 0))",30145.41398494963,23513.4307882922,4.023467177183491
"((10, 2, 0), (0, 0, 0, 7))",30145.41398494963,23513.4307882922,4.023467177183491
"((4, 1, 4), (0, 0, 0, 0))",30145.419202288293,23513.483556409305,4.023473516465146
"((4, 1, 4), (0, 0, 0, 7))",30145.419202288293,23513.483556409305,4.023473516465146
"((4, 1, 4), (0, 0, 1, 7))",30145.46369682541,23513.93244087384,4.023527443063392
"((2, 0, 9), (3, 0, 0, 7))",30145.465269102053,23513.94826592894,4.02352934420156
"((8, 0, 12), (0, 0, 0, 7))",30145.498180404575,23514.27894641868,4.0235690704013445
"((8, 0, 12), (0, 0, 0, 0))",30145.498180404575,23514.27894641868,4.0235690704013445
"((1, 0, 11), (5, 0, 0, 7))",30145.52457256793,23514.54333869565,4.0236008330869035
"((1, 0, 8), (5, 0, 0, 7))",30145.556350802224,23514.86076742243,4.023638967290186
"((6, 1, 12), (5, 0, 0, 7))",30145.646749108124,23515.758326143157,4.023746795233363
"((3, 0, 7), (0, 0, 0, 7))",30145.67475660099,23516.03480752521,4.023780010239875
"((3, 0, 7), (0, 0, 0, 0))",30145.67475660099,23516.03480752521,4.023780010239875
"((8, 0, 4), (0, 0, 2, 7))",30145.682811416373,23516.114183493657,4.023789546047636
"((2, 0, 8), (2, 0, 0, 7))",30145.748254019,23516.756811611107,4.023866747980538
"((2, 2, 10), (1, 0, 0, 7))",30145.77928348031,23517.060110934188,4.023903184752216
"((3, 0, 5), (0, 0, 2, 7))",30145.784644163563,23517.112418815424,4.023909468743574
"((3, 0, 6), (0, 0, 1, 7))",30145.788783924767,23517.1527951556,4.023914319342889
"((3, 0, 7), (5, 1, 0, 7))",30145.87126637552,23517.954000219106,4.024010571868841
"((2, 0, 4), (0, 0, 2, 7))",30145.89460290853,23518.179563955513,4.024037669899521
"((3, 1, 8), (0, 0, 0, 0))",30145.908025790646,23518.309084286713,4.024053229785009
"((3, 1, 8), (0, 0, 0, 7))",30145.908025790646,23518.309084286713,4.024053229785009
"((5, 0, 8), (1, 0, 0, 7))",30145.923125806614,23518.454595571515,4.02407071073883
"((7, 0, 4), (0, 0, 2, 7))",30145.935702672265,23518.575637872338,4.0240852521187245
"((2, 1, 4), (0, 0, 2, 7))",30146.00816575243,23519.270324505484,4.024168708085532
"((1, 0, 10), (4, 0, 0, 7))",30146.028725521017,23519.466592371547,4.024192286665763
"((2, 0, 11), (5, 0, 0, 7))",30146.102028002588,23520.16339842237,4.024275997248168
"((6, 0, 7), (1, 0, 0, 7))",30146.243144648728,23521.492114066743,4.024435622096873
"((3, 2, 10), (4, 0, 0, 7))",30146.31617927438,23522.173375209142,4.0245174651964435
"((3, 0, 4), (0, 0, 2, 7))",30146.339953708346,23522.394216927732,4.024543995948955
"((1, 0, 11), (2, 0, 0, 7))",30146.367682670607,23522.65122501548,4.024574871537193
"((3, 0, 4), (0, 0, 1, 7))",30146.37201295934,23522.69130574659,4.024579686623601
"((3, 2, 10), (2, 0, 0, 7))",30146.39218535577,23522.877824909094,4.024602094046304
"((9, 2, 0), (0, 0, 0, 7))",30146.396994046594,23522.922240129694,4.024607429855286
"((9, 2, 0), (0, 0, 0, 0))",30146.396994046594,23522.922240129694,4.024607429855286
"((5, 1, 6), (0, 0, 1, 7))",30146.44101456453,23523.327994205167,4.0246561749973955
"((6, 2, 8), (0, 1, 0, 7))",30146.453802401724,23523.445582502336,4.024670301431613
"((1, 0, 11), (0, 1, 0, 7))",30146.56043588576,23524.421233667355,4.024787510986769
"((6, 2, 11), (0, 1, 0, 7))",30146.56110203853,23524.427301574116,4.024788239952897
"((4, 1, 2), (0, 0, 2, 7))",30146.587210058184,23524.664854244904,4.024816778270554
"((2, 2, 7), (0, 0, 0, 0))",30146.588654888405,23524.677985625574,4.024818355804967
"((2, 2, 7), (0, 0, 0, 7))",30146.588654888405,23524.677985625574,4.024818355804967
"((1, 0, 0), (0, 0, 2, 7))",30146.590243592636,23524.692422810134,4.024820090211731
